0      72.000000    31.717474   { 88, 275, 362, 422, 509, 545}
1     -72.000000    31.717474   { 38, 204, 245, 436, 572, 597}
2     -40.346753    22.854106   {139, 402, 567, 580, 608, 623}
3       0.000000   301.717474   {187, 210, 295, 395, 480,  -1}
4      -4.651009   128.146620   { 48,  71,  76, 367, 405, 565}
5       0.000000   262.070631   { 41, 168, 246, 385, 522, 579}
6       0.000000    97.929369   {  9,  46,  73,  85,  89, 163}
7     -31.282526   100.547245   { 39, 429, 561, 569, 582, 594}
8     -57.158909   163.234279   { 18, 108, 203, 257, 409, 411}
9       7.647096    94.759903   {  6,  73,  89, 321, 558, 640}
10      4.717474   187.673246   {127, 276, 287, 292, 324, 524}
11     75.103681   121.101793   {114, 124, 174, 391, 450, 566}
12    -52.433780   249.549240   { 24, 104, 229, 327, 539, 624}
13    -51.577705   123.849010   { 79, 193, 216, 461, 485, 584}
14     -7.630989    77.168544   {247, 372, 437, 458, 526, 555}
15    -43.487078    54.110245   {116, 387, 415, 431, 463, 500}
16     38.333632    84.062541   { 53, 132, 305, 467, 510, 636}
17    -38.333632   275.937459   { 47,  55, 202, 329, 444, 578}
18    -58.282526   180.000000   {  8, 135, 203, 333, 411, 523}
19     34.837554   164.957308   {253, 315, 443, 447, 495, 613}
20     -4.654202    38.483669   { 42, 238, 241, 316, 475, 493}
21    -72.000000   328.282526   { 38, 125, 225, 282, 334, 476}
22     51.279291   352.546699   { 84,  91, 177, 413, 441, 518}
23     30.000000    69.094843   { 53, 112, 123, 132, 297, 460}
24    -51.613800   262.496754   { 12, 104, 578, 587, 624, 630}
25     27.000000   148.282526   {227, 253, 265, 414, 464, 547}
26    -27.000000   148.282526   { 58, 146, 434, 471, 543, 550}
27     43.487078   234.110245   { 67,  68, 226, 465, 546, 586}
28    -54.000000   328.282526   {149, 285, 313, 376, 476, 605}
29     66.383039   311.237721   {129, 131, 302, 348, 425, 603}
30    -37.998585     5.906075   { 49, 105, 145, 153, 402, 608}
31    -54.000000    31.717474   {113, 250, 436, 500, 567, 623}
32     40.284076   137.703132   {152, 265, 414, 502, 544, 616}
33    -34.350518   231.550823   {117, 195, 303, 314, 503, 574}
34    -43.487078   305.889755   {119, 134, 285, 288, 433, 631}
35    -15.450437   270.000000   { 81, 211, 251, 366, 454, 522}
36     15.450437   270.000000   { 62,  80,  83, 168, 453, 481}
37    -40.284076   137.703132   {193, 199, 434, 461, 543, 628}
38    -74.549563     0.000000   {  1,  21, 204, 225, 334, 597}
39    -38.333632    95.937459   {  7, 180, 399, 505, 569, 582}
40    -15.063649    63.299389   { 57, 161, 234, 247, 432, 437}
41      0.000000   270.000000   {  5, 168, 211, 481, 521, 522}
42      4.654202    38.483669   { 20, 221, 238, 377, 439, 493}
43    -34.837554   195.042692   {248, 317, 326, 355, 615, 620}
44     58.282526   180.000000   {286, 361, 371, 479, 489, 575}
45     34.837554   344.957308   { 91, 110, 217, 242, 535, 556}
46     -7.647096    94.759903   {  6,  63,  73,  85, 372, 528}
47    -31.282526   280.547245   { 17,  55, 351, 421, 444, 454}
48      4.651009   128.146620   {  4, 137, 332, 400, 405, 565}
49    -28.975897     8.625392   { 30, 153, 237, 383, 402, 577}
50     82.070631   270.000000   { 66, 131, 214, 222, 427, 542}
51      4.717474     7.673246   {207, 235, 375, 525, 530, 534}
52     52.433780    69.549240   {150, 281, 293, 459, 467, 551}
53     31.282526    79.452755   { 16,  23, 123, 132, 617, 636}
54    -82.070631   270.000000   { 94, 225, 282, 331, 341, 614}
55    -31.717474   270.000000   { 17,  47,  81, 171, 202, 454}
56     34.837554    15.042692   {138, 184, 278, 311, 349, 517}
57     -7.538963    60.747078   { 40, 161, 166, 247, 296, 497}
58    -31.072455   156.162687   { 26,  92, 418, 543, 550, 641}
59     27.000000    31.717474   {184, 223, 301, 386, 508, 553}
60    -27.000000    31.717474   {139, 466, 483, 580, 629, 638}
61     20.991460   351.893478   {126, 136, 183, 217, 242, 350}
62     15.240162   279.693724   { 36,  93, 284, 435, 453, 481}
63    -15.450437    90.000000   { 46, 372, 458, 528, 561, 618}
64     17.533230   163.921796   { 75, 201, 274, 416, 547, 613}
65     44.612618   114.570456   {158, 309, 408, 571, 616, 627}
66     81.000000   211.717474   { 50,  97, 214, 391, 542, 590}
67     34.350518   231.550823   { 27,  68, 140, 190, 465, 600}
68     40.284076   222.296868   { 27,  67,  77, 470, 586, 600}
69     51.577705   303.849010   { 74, 129, 258, 273, 302, 633}
70    -59.874637   285.153785   {102, 191, 215, 536, 587, 630}
71     -7.538963   119.252922   {  4,  76, 106, 330, 403, 565}
72      7.538963    60.747078   {121, 296, 445, 477, 497, 519}
73      0.000000    90.000000   {  6,   9,  46, 321, 372, 526}
74     44.612618   294.570456   { 69, 148, 258, 606, 626, 633}
75     12.715907   172.175957   { 64, 165, 201, 416, 524, 527}
76    -12.299559   125.779786   {  4,  71, 120, 367, 403, 562}
77     36.000000   211.717474   { 68,  96, 115, 470, 473, 600}
78    -27.932423   120.920896   {120, 155, 199, 345, 359, 594}
